App,Commit,Message,Decision
4pdaClient-plus,988c723,https://github.com/slartus/4pdaClient-plus/commit/988c723,reliability
AmazeFileManager,126e6be,https://github.com/TeamAmaze/AmazeFileManager/commit/126e6be,unknown
chanu,494f02c,https://github.com/grzegorznittner/chanu/commit/494f02c,performance
MiMangaNu,6fc496c,https://github.com/raulhaag/MiMangaNu/commit/6fc496c,unknown
NewPipe,9e910d5,https://github.com/TeamNewPipe/NewPipe/commit/9e910d5,reliability
NewPipe,40f00af,https://github.com/TeamNewPipe/NewPipe/commit/40f00af,unknown
Slide,88d3d18,https://github.com/ccrama/Slide/commit/88d3d18,performance
surespot-android,33af13a,https://github.com/zoff99/surespot-android/commit/33af13a,unknown
TD,e64f371,https://github.com/CiTuX/TD/commit/e64f371,unknown
TransportsRennes,3de65a5,https://github.com/ybonnel/TransportsRennes/commit/3de65a5,unknown
Impeller,5d1e7e8,https://github.com/erincandescent/Impeller/commit/5d1e7e8,simplicity^flexibility
ReGalAndroid,4845dc8,https://github.com/anthonydahanne/ReGalAndroid/commit/4845dc8,unknown
android_packages_apps_CMFileManager,31112c7,https://github.com/mcrosson/android_packages_apps_CMFileManager/commit/31112c7,flexibility
bitcoin-wallet,24bc049,https://github.com/bitcoin-wallet/bitcoin-wallet/commit/24bc049,flexibility
i2p.android.base,90ff160,https://github.com/i2p/i2p.android.base/commit/90ff160,unknown
MyExpenses,aef7621,https://github.com/mtotschnig/MyExpenses/commit/aef7621,flexibility
SatoshiProof,07b07f4,https://github.com/ligi/SatoshiProof/commit/07b07f4,unknown
and-bible,3bc77f6,https://github.com/mjdenham/and-bible/commit/3bc77f6,unknown
androidclient,f27d251,https://github.com/kontalk/androidclient/commit/f27d251,unknown
eyeCam,31f1110,https://github.com/tom-and-jerry/eyeCam/commit/31f1110,unknown
iFixitAndroid,cae22ef,https://github.com/iFixit/iFixitAndroid/commit/cae22ef,unknown
seadroid,497d94f,https://github.com/haiwen/seadroid/commit/497d94f,reliability
seadroid,e828df3,https://github.com/haiwen/seadroid/commit/e828df3,unknown
Freebloks-Android,0faa802,https://github.com/shlusiak/Freebloks-Android/commit/0faa802,unknown
OSMonitor,88c0335,https://github.com/eolwral/OSMonitor/commit/88c0335,unknown
SoundWaves,1808c9f,https://github.com/bottiger/SoundWaves/commit/1808c9f,unknown
runnerup,89656da,https://github.com/jonasoreland/runnerup/commit/89656da,unknown
Anecdote,522300b,https://github.com/HugoGresse/Anecdote/commit/522300b,unknown
Secrecy_fDroid,ffa736c,https://github.com/Doplgangr/Secrecy_fDroid/commit/ffa736c,unknown
SimpleExplorer,bb47218,https://github.com/DF1E/SimpleExplorer/commit/bb47218,unknown
SimpleExplorer,bb47218,https://github.com/DF1E/SimpleExplorer/commit/bb47218,unknown
dscautorename,022e75e,https://github.com/ciubex/dscautorename/commit/022e75e,flexibility
zxing,73345ae,https://github.com/zxing/zxing/commit/73345ae,unknown
