App,Commit,Message,Decision
ad-away,e5a1c8659565da67b0dd95ba14299e4d38303631,https://github.com/AdAway/AdAway/commit/e5a1c8659565da67b0dd95ba14299e4d38303631,unknown
AlarmClock,d138ac2,https://github.com/yuriykulikov/AlarmClock/commit/d138ac2,testability
AlarmClock,a2104a2,https://github.com/yuriykulikov/AlarmClock/commit/a2104a2,testability
and-bible,c90b515,https://github.com/mjdenham/and-bible/commit/c90b515,feature
and-bible,613fe54,https://github.com/mjdenham/and-bible/commit/613fe54,unknown
andFHEM,2ccf8d5,https://github.com/klassm/andFHEM/commit/2ccf8d5,unknown
andlytics,ca7ea54,https://github.com/AndlyticsProject/andlytics/commit/ca7ea54,unknown
andlytics,5ca1625,https://github.com/AndlyticsProject/andlytics/commit/5ca1625,unknown
andlytics,10038f9,https://github.com/AndlyticsProject/andlytics/commit/10038f9,unknown
android-squeezer,ca43942,https://github.com/bradfitz/android-squeezer/commit/ca43942,unknown
AntennaPod,dc32fb8,https://github.com/AntennaPod/AntennaPod/commit/dc32fb8,unknown
AnySoftKeyboard,6aee56a,https://github.com/AnySoftKeyboard/AnySoftKeyboard/commit/6aee56a,unknown
AnySoftKeyboard,68980b7,https://github.com/AnySoftKeyboard/AnySoftKeyboard/commit/68980b7,unknown
Atarashii,f4ab887,https://github.com/AnimeNeko/Atarashii/commit/f4ab887,performance^feature
Atomic,690012504e9810c700bc03e8a64410762b58ddba,https://github.com/indrora/Atomic/commit/690012504e9810c700bc03e8a64410762b58ddba,unknown
bitcoin-wallet,5bdf226,https://github.com/bitcoin-wallet/bitcoin-wallet/commit/5bdf226,unknown
Clover,24f59f5,https://github.com/Floens/Clover/commit/24f59f5,unknown
Clover,ad02aca,https://github.com/Floens/Clover/commit/ad02aca,unknown
debatekeeper,2ba2a9a,https://github.com/czlee/debatekeeper/commit/2ba2a9a,unknown
Device-Frame-Generator,4401f71,https://github.com/f2prateek/Device-Frame-Generator/commit/4401f71,unknown
FBReaderJ,9d0ca05,https://github.com/geometer/FBReaderJ/commit/9d0ca05,unknown
FBReaderJ,4bc1e45,https://github.com/geometer/FBReaderJ/commit/4bc1e45,unknown
fdroidclient,d2c8f0d,https://gitlab.com/fdroid/fdroidclient/commit/d2c8f0d,unknown
