App name,URL,Old line number,New line number,Removed library
4pdaClient-plus,https://github.com/slartus/4pdaClient-plus/commit/988c723#diff-676753386af03288aff2987ca04bbf79,279-280,272,com.squareup.picasso.Picasso
AmazeFileManager,https://github.com/TeamAmaze/AmazeFileManager/commit/126e6be#diff-a9945ac31bcab0ca0fbacabfbe38b290,90,89,android.graphics.Color
chanu,https://github.com/grzegorznittner/chanu/commit/494f02c#diff-c011597894e3d9bb053cc532cad5bdab,95,83,com.nostra13.universalimageloader.core.ImageLoader
MiMangaNu,https://github.com/raulhaag/MiMangaNu/commit/6fc496c#diff-6c9ad8c57356141c6f781ab0ce9767c9,255,251,com.fedorvlasov.lazylist.FileCache
NewPipe,https://github.com/TeamNewPipe/NewPipe/commit/9e910d5#diff-b0ed706c4eba15b61552f013cc01d82e,245,251,org.apache.commons.lang.exception.ExceptionUtils
NewPipe,https://github.com/TeamNewPipe/NewPipe/commit/40f00af#diff-a06d9c86f4bba256c53246e3f8e2aeb6,275,257,java.text.DateFormat
Slide,https://github.com/ccrama/Slide/commit/88d3d18#diff-52ea9f29b92018fec3839b0222a84ec2,2412,2411,org.apache.commons.lang3.StringUtils
surespot-android,https://github.com/zoff99/surespot-android/commit/33af13a#diff-95a274211f4d35c87173b185a7ea3ae1,252,249,android.graphics.BitmapFactory
TD,https://github.com/CiTuX/TD/commit/e64f371#diff-bd538e036d537a435a884b65ec1bc04f,20,36,org.apache.commons.codec.binary.Hex
TransportsRennes,https://github.com/ybonnel/TransportsRennes/commit/3de65a5#diff-7fa4cdaa6c90c94651cace9c974c68d0,177,176,org.apache.commons.codec.binary.Hex
Impeller,https://github.com/erincandescent/Impeller/commit/5d1e7e8#diff-494151eeec072380b35a6dbf088aa559,145,143,com.koushikdutta.urlimageviewhelper.UrlImageViewHelper
Impeller,https://github.com/erincandescent/Impeller/commit/5d1e7e8#diff-3023157d4fae1caa69f76e55039ff551,45,46,com.koushikdutta.urlimageviewhelper.UrlImageViewHelper
ReGalAndroid,https://github.com/anthonydahanne/ReGalAndroid/commit/4845dc8#diff-2a4257ae04c97ed4c7d2019104979bc6,131-140,154,java.net.URL
android_packages_apps_CMFileManager,https://github.com/mcrosson/android_packages_apps_CMFileManager/commit/31112c7#diff-6b44bec7da550e4757befd8101d69d4f,315,314,java.text.DateFormat
bitcoin-wallet,https://github.com/bitcoin-wallet/bitcoin-wallet/commit/24bc049#diff-d1da9a70b623a0d2018041283c632a64,47,47,com.google.bitcoin.core.Utils
i2p.android.base,https://github.com/i2p/i2p.android.base/commit/90ff160#diff-8be7dffa8149389517b5c8cf048cd322,492,470,java.text.DecimalFormat
MyExpenses,https://github.com/mtotschnig/MyExpenses/commit/aef7621#diff-14101703b6cb598394bdd6a128a83299,153,154,java.sql.Timestamp
SatoshiProof,https://github.com/ligi/SatoshiProof/commit/07b07f4#diff-6a8f0a0ddb4a8d9933b084236abcb8f7,48,46,com.google.bitcoin.core.Address
and-bible,https://github.com/mjdenham/and-bible/commit/3bc77f6#diff-70fe529e590885aeaeed9c00c3c7b844,58,59,org.apache.commons.lang.StringUtils
androidclient,https://github.com/kontalk/androidclient/commit/f27d251#diff-fc2910b636e8002cdf5252eb0bbf0906,509,513,org.jivesoftware.smackx.ping.android.ServerPingWithAlarmManager
eyeCam,https://github.com/tom-and-jerry/eyeCam/commit/31f1110#diff-bb6d95d29c524afdb1067898ed7d7dab,45,41,android.graphics.BitmapFactory
iFixitAndroid,https://github.com/iFixit/iFixitAndroid/commit/cae22ef#diff-59a0a856804e7d2c37df1529d9113c23,32,33,com.squareup.picasso.Picasso
seadroid,https://github.com/haiwen/seadroid/commit/497d94f#diff-df90572a1951a9a08235414c612aa409,135,134,android.graphics.BitmapFactory
seadroid,https://github.com/haiwen/seadroid/commit/e828df3#diff-c409623220f27be86f829162b2fbcc1f,1006,1046,com.ipaulpro.afilechooser.utils.FileUtils
Freebloks-Android,https://github.com/shlusiak/Freebloks-Android/commit/0faa802#diff-8695d44168445ed8895a23b30b455446,66,59,android.opengl.GLUtils
OSMonitor,https://github.com/eolwral/OSMonitor/commit/88c0335#diff-eaf25468e2185cea5aaad64db8107ea8,190,165,java.net.Socket
SoundWaves,https://github.com/bottiger/SoundWaves/commit/1808c9f#diff-f549e19fb91cd71ad355cec4d236369a,308,307,org.apache.commons.io.FileUtils
runnerup,https://github.com/jonasoreland/runnerup/commit/89656da#diff-785311b53055143424023e1c2b58f22c,86,85,android.database.DatabaseUtils
Anecdote,https://github.com/HugoGresse/Anecdote/commit/522300b#diff-2e4a45a534c29239ccb63783deea120e,137,138,android.graphics.BitmapFactory
Secrecy_fDroid,https://github.com/Doplgangr/Secrecy_fDroid/commit/ffa736c#diff-72395e6b38109b54531644a339a30058,88,88,com.uservoice.uservoicesdk.UserVoice
SimpleExplorer,https://github.com/DF1E/SimpleExplorer/commit/bb47218#diff-b48e5915177b48905dcc1169cd92ae5c,89,88,org.apache.commons.io.FileUtils
SimpleExplorer,https://github.com/DF1E/SimpleExplorer/commit/bb47218#diff-253964f7710cc7fecf4cd5f8ab644906,46,45,org.apache.commons.io.FilenameUtils
dscautorename,https://github.com/ciubex/dscautorename/commit/022e75e#diff-1102c7f2f85235014f2bee05fa2513f5,610,609,java.text.SimpleDateFormat
zxing,https://github.com/zxing/zxing/commit/73345ae#diff-5494c50e9d71c5e1f3eace9dfd3cd62d,201,195,org.apache.http.util.EntityUtils
