App name,URL,Old line number,New line number,Removed library
0bin,https://github.com/sametmax/0bin/commit/2a36c3d#diff-e4092b51e0f0643e1d45640d1a2950a8,93,94,bottle
aleph,https://github.com/alephdata/aleph/commit/fff01f0#diff-1653a11f74f5b3e50a3924af3f37cfbd,128,128,dateparser
anaconda-client,https://github.com/Anaconda-Platform/anaconda-client/commit/12f0ffc#diff-be44204a8f596103f7df5dffd1a1c37f,43,41,keyring
auto-sklearn,https://github.com/automl/auto-sklearn/commit/16d088b#diff-f57f2e0857c601ac4d4ddc143ec53052,35,56,time
bbqsql,https://github.com/Neohapsis/bbqsql/commit/32c0bed#diff-1a18790c3ccd93e9aacf1940298b8a53,129,144,numpy
blinkstick-python,https://github.com/arvydas/blinkstick-python/commit/cfa776b#diff-3bd72b0238309853167189761d8312dfL160,190,340,webcolors
BombSquad-Community-Mod-Manager,https://github.com/Mrmaxmeier/BombSquad-Community-Mod-Manager/commit/b4eee5c#diff-1e9e7b5e21fced00e89199f293d391f5,64,68,uuid
bup,https://github.com/bup/bup/commit/6da6b77#diff-a14ac5627b11eb0d393e1285001096b8,764,764,time
Cactus,https://github.com/eudicots/Cactus/commit/96abd35#diff-7dedbe41dc4039a42cc5a86d8e1f4ff2L198,207,281,keyring
ceph-lcm,https://github.com/Mirantis/ceph-lcm/commit/1b2083f#diff-ad1047c0c31b0f1a45f1f5d9204c2e47,290,287,netaddr
certbot,https://github.com/certbot/certbot/commit/7af9263#diff-f5ae0463188bea8f049e75421d14eef9,253,246,jose
common-workflow-language,https://github.com/common-workflow-language/common-workflow-language/commit/0c7cc02#diff-ceb29e0b30c435fbee3c927af99c9f35,383,397,pathlib2
Cryptomatte,https://github.com/Psyop/Cryptomatte/commit/aab53e6#diff-02ebb2dee2f3eed0782081673945a86e,785,818,yaml
cuckoo-modified,https://github.com/spender-sandbox/cuckoo-modified/commit/7f67da7#diff-19a10557ae8bf45d1579520f6eb45c88,50,49,dateutil
dask,https://github.com/dask/dask/commit/c71104d#diff-f53ecd9ef5812be5d933075640554e46,74,86,uuid
datashader,https://github.com/bokeh/datashader/commit/f13b193#diff-2c9f4a18cd0fd859bbcac9b8a42c2fef,372,372,odo
flask-api,https://github.com/flask-api/flask-api/commit/6c1969b#diff-14f249e8adb5507eb54b7b3df19a0a36,101,108,html
infrasim-compute,https://github.com/InfraSIM/infrasim-compute/commit/a42a458#diff-42cc5c7fdc59ae834e75e6229605227d,661,660,netifaces
khard,https://github.com/scheibler/khard/commit/0287280#diff-8dfc5f8744f5b6415e012531702c3da1,941,953,dateutil
lopocs,https://github.com/Oslandia/lopocs/commit/091f586#diff-5f89644882312fd117246c350210e14c,88,93,pymorton
mitmproxy,https://github.com/mitmproxy/mitmproxy/commit/b05bf58#diff-d822d018414871f28fe368e78ff8da80,19,58,jsbeautifier
mongodb-engine,https://github.com/django-nonrel/mongodb-engine/commit/29535c7#diff-2eeaed663bd0d25b7e608891384b7298,29,19,setuptools
mycli,https://github.com/dbcli/mycli/commit/c584fe9#diff-160f56e651e6837ccd1345a0c444eee4,196,203,fuzzywuzzy
neupy,https://github.com/itdxer/neupy/commit/4b9b150#diff-849f1cf245c1a05a265d533a9951844e,40,74,tableprint
neutron,https://github.com/openstack/neutron/commit/9d3a07e#diff-129fb64cd28c15793cd85bde413ff044,146,143,psutil
neutron,https://github.com/openstack/neutron/commit/85dc410#diff-6bf4889a1dacce274d3bbf04ed8e09e6,84,93,netifaces
nfldb,https://github.com/BurntSushi/nfldb/commit/a3b9539#diff-23710618a6347cb63fff7a9ea02d596a,56,93,toml
nipype,https://github.com/nipy/nipype/commit/0388305#diff-6754f59514753626dc2de4293709ce5d,111,140,psutil
OIPA,https://github.com/zimmerman-zimmerman/OIPA/commit/ff5cd14#diff-869d15342f8cc95b1bccdde7835ba5dcL640,654,691,xmlrpclib
openshift-ansible,https://github.com/openshift/openshift-ansible/commit/251dca6#diff-8c83287a125220bc46f58c79f26c6670,528,545,netaddr
opsdroid,https://github.com/opsdroid/opsdroid/commit/e025fc1#diff-ecd4f44788daba26207a84131e680a35,177,189,pip
pendulum,https://github.com/sdispater/pendulum/commit/54dd169#diff-64459e7aac012e3fa5724486d87ee793L119,133,130,pytz
pyqtgraph,https://github.com/pyqtgraph/pyqtgraph/commit/34802c8#diff-572eff00f1d4793d8dd8f3b2834c85a1,32,31,scipy
s3transfer,https://github.com/boto/s3transfer/commit/db41169#diff-3453c933e5472153df3bd4582e148da6,340,339,boto3
schema_salad,https://github.com/common-workflow-language/schema_salad/commit/0c7cc02#diff-ceb29e0b30c435fbee3c927af99c9f35,383,397,pathlib2
SickGear,https://github.com/SickGear/SickGear/commit/9b3af8b#diff-18b24e2b42d4376a8c1159ac6aad92ca,589,583,xmltodict
snmpsim,https://github.com/etingof/snmpsim/commit/612f34c#diff-8405bc45eb2f75985aa41101b6b65247,34,83,ast
statsmodels,https://github.com/statsmodels/statsmodels/commit/29f2e56#diff-6a621fd9ed0c783bb1f8f4db0b6222c7L181,190-191,220,httplib2
vdirsyncer,https://github.com/pimutils/vdirsyncer/commit/8d5fed4#diff-af9e5943d0296ec2efb3756f8cb35577,133,115,icalendar
keras-retinanet,https://github.com/fizyr/keras-retinanet/commit/f730498#diff-4559358191ecc810ddd4d5bc9a6e24fa,83,83,cv2
django-rest-framework,https://github.com/encode/django-rest-framework/commit/a5213d4#diff-ae46e57d76fba8a4d132963621d12013,7,17,urlobject
azure-cli,https://github.com/Azure/azure-cli/commit/2f0cb9d#diff-0e8f50170282f3b6ea824007308bb5c1L908,1048,1198,pprint
celery,https://github.com/celery/celery/commit/bc327d6#diff-035ef40a0ac078ea96e8cb07015e9263			
circuits,https://github.com/circuits/circuits/commit/bd2df2f#diff-b67d9ea64b96260fc9efa044164318d3L89,93,73,time
pre-commit,https://github.com/pre-commit/pre-commit/commit/bbd2572#diff-b81af8766b87ea76afd93d5c99391173,32,33	
sumatra,https://github.com/open-research/sumatra/commit/83d2322#diff-ae6e1f3593275d7c315d8b6689d069ffL30,37,143,jsonpickle
netdisco,https://github.com/home-assistant/netdisco/commit/fd133aa#diff-fadbe353564843f4c35dae7474186be2,121,126,xmltodict
aleph,https://github.com/alephdata/aleph/commit/cde4f55#diff-42625fcbaac6ccae48ee277f4dcc7d34,28,27,six
