App name,URL,Old line number,New Line number,Imported library
ad-away,https://github.com/AdAway/AdAway/commit/e5a1c8659565da67b0dd95ba14299e4d38303631#diff-f23bada50feb4330898be0ac7dc94387,258,199,com.commonsware.cwac.wakeful.WakefulIntentService
ad-away,https://github.com/AdAway/AdAway/commit/e5a1c8659565da67b0dd95ba14299e4d38303631#diff-702657f5a638609559fdc0c4c1127653,102,110,com.commonsware.cwac.wakeful.WakefulIntentService
ad-away,https://github.com/AdAway/AdAway/commit/e5a1c8659565da67b0dd95ba14299e4d38303631#diff-702657f5a638609559fdc0c4c1127653,104,112,com.commonsware.cwac.wakeful.WakefulIntentService
AlarmClock,https://github.com/yuriykulikov/AlarmClock/commit/d138ac2#diff-80aaaaee258b3070b37f4bc4ff597aa5,228,250,com.google.common.base.Optional
AlarmClock,https://github.com/yuriykulikov/AlarmClock/commit/a2104a2#diff-78da90f799bcdc9bfc16509ae08f878b,80,114,com.f2prateek.rx.preferences2.RxSharedPreferences
and-bible,https://github.com/mjdenham/and-bible/commit/c90b515#diff-5e3cdd74de69e706532bd8c4422df474,130,134,de.greenrobot.event.EventBus
and-bible,https://github.com/mjdenham/and-bible/commit/613fe54#diff-e8ee925b41797d13418a8026003e7308,48,47,de.greenrobot.event.EventBus
and-bible,https://github.com/mjdenham/and-bible/commit/613fe54#diff-e8ee925b41797d13418a8026003e7308,68,58,de.greenrobot.event.EventBus
andFHEM,https://github.com/klassm/andFHEM/commit/2ccf8d5#diff-bccfc2751067197d61bce671b91e24a5,193,190,com.actionbarsherlock.internal.ResourcesCompat
andlytics,https://github.com/AndlyticsProject/andlytics/commit/ca7ea54#diff-94bdd6148f648f87a3f1f7ea2255a313,193,189,com.actionbarsherlock.internal.ResourcesCompat
andlytics,https://github.com/AndlyticsProject/andlytics/commit/5ca1625#diff-018f247f71bd579f44eca68bbd2e69d6,109,109,android.support.v4.app.NotificationCompat
andlytics,https://github.com/AndlyticsProject/andlytics/commit/10038f9#diff-370346d8577002f7486ec5ecdd23a747,116,116,android.support.v4.app.NotificationCompat
android-squeezer,https://github.com/nikclayton/android-squeezer/commit/ca43942#diff-3e4d31a27eed81e0f2eb33fb81170eea,633-636,634,de.greenrobot.event.EventBus
AntennaPod,https://github.com/AntennaPod/AntennaPod/commit/dc32fb8#diff-2ae5489bc9514ee57bde2c2563d95f79,24,25,org.apache.commons.lang3.StringEscapeUtils
AnySoftKeyboard,https://github.com/AnySoftKeyboard/AnySoftKeyboard/commit/6aee56a#diff-f0d929f01cacd4c60081a683bd437208,1679-1681,1679,com.google.android.voiceime.VoiceRecognitionTrigger
AnySoftKeyboard,https://github.com/AnySoftKeyboard/AnySoftKeyboard/commit/68980b7#diff-f42501440cd53d032a2198d8d9e766cb,2456,2451,android.support.v4.view.MotionEventCompat
AnySoftKeyboard,https://github.com/AnySoftKeyboard/AnySoftKeyboard/commit/68980b7#diff-f42501440cd53d032a2198d8d9e766cb,2491,2486,android.support.v4.view.MotionEventCompat
Atarashii,https://github.com/AnimeNeko/Atarashii/commit/f4ab887#diff-166e4eb05672dee268e3829000f82310,88,88,com.squareup.picasso.Picasso
Atarashii,https://github.com/AnimeNeko/Atarashii/commit/f4ab887#diff-52f0bc913e5ef0fd4d79de905eac23a9,390,391,com.squareup.picasso.Picasso
Atomic,https://github.com/indrora/Atomic/commit/690012504e9810c700bc03e8a64410762b58ddba#diff-d0b34c7c995df79fde35144ab6cd3b6b,1046,1053,android.view.View
bitcoin-wallet,https://github.com/bitcoin-wallet/bitcoin-wallet/commit/5bdf226#diff-c3ee3befcdf5c35e7312ce603d0a2877,133,133,org.bitcoinj.protocols.payments.PaymentProtocol
Clover,https://github.com/Floens/Clover/commit/24f59f5#diff-9c3b8b2a87d81ab9f97ff48273b833a0,62,64,de.greenrobot.event.EventBus
Clover,https://github.com/Floens/Clover/commit/24f59f5#diff-249a7a593d4576b349c9dd60d786d39e,92,94,de.greenrobot.event.EventBus
Clover,https://github.com/Floens/Clover/commit/ad02aca#diff-1ca219abe9cfae048131bbaf0bfaadf6,57,56,de.greenrobot.event.EventBus
debatekeeper,https://github.com/czlee/debatekeeper/commit/2ba2a9a#diff-9c8ec92cad7b7bd4757c1897699dec03,219,220,android.text.format.DateUtils
Device-Frame-Generator,https://github.com/f2prateek/Device-Frame-Generator/commit/4401f71#diff-f3159d0e7ef2ab42f466bd836a96365b,154,93,com.squareup.picasso.Picasso
FBReaderJ,https://github.com/geometer/FBReaderJ/commit/9d0ca05#diff-111c3f193c58d04aed7c19db835db11b,69,62,import android.text.Html
FBReaderJ,https://github.com/geometer/FBReaderJ/commit/4bc1e45#diff-99b21734f3eaaad11f6f3fadb054682d,112,86,java.net.URLEncoder
FBReaderJ,https://github.com/geometer/FBReaderJ/commit/4bc1e45#diff-c4252dad9cec3ecb7145d9c96c189b43,135,135,java.net.URLEncoder
fdroidclient,https://gitlab.com/fdroid/fdroidclient/commit/017811f#cf41a933ea0cce517aa154eebb255169b4d33cd4,80,82,com.nostra13.universalimageloader.core.ImageLoader
fdroidclient,https://gitlab.com/fdroid/fdroidclient/commit/d2c8f0d#66fe8096fc620a7d73e75c0b1255030b9c650466,498,499-501,android.support.v4.view.MenuItemCompat
fdroidclient,https://gitlab.com/fdroid/fdroidclient/commit/d2c8f0d#0f1dbcae4328144dcbd449f3a9082acd4a0a0afd,156,157,android.support.v4.view.MenuItemCompat
gh4a,https://github.com/slapperwan/gh4a/commit/9e3493b#diff-5ff0a046a183e297addbbe02ca344a94,301,302,android.text.format.DateFormat
gh4a,https://github.com/slapperwan/gh4a/commit/3c81d79#diff-65e9878bdecc42e19d85aec31e8cf48a,127,131,com.androidquery.AQuery
gpslogger,https://github.com/mendhak/gpslogger/commit/39e88b1#diff-4be86eada42fe15ff94ce2f44a03f9e1,674,675,de.greenrobot.event.EventBus
k-9,https://github.com/k9mail/k-9/commit/0fac8e9#diff-11202012d1a69216c2a20510b5a76dc5,1058,1057,import android.text.format.DateUtils
k-9,https://github.com/k9mail/k-9/commit/565fef0#diff-e4ad7e70483486712e0148dd2c6a0c35,3074,3074,android.support.v4.app.NotificationCompat
mirakel-android,https://github.com/MirakelX/mirakel-android/commit/8cc9554#diff-01d36938a5d6bbef8c15e2182bc9fb9b,47,50,import android.text.TextUtils
mupen64plus-ae,https://github.com/paulscode/mupen64plus-ae/commit/1d2da7b#diff-0050299c1d42b0507235acf67a6c5451,129,132,tv.ouya.console.api.OuyaFacade
mupen64plus-ae,https://github.com/paulscode/mupen64plus-ae/commit/b1a166e#diff-4208fd0af6ebce302ac1877e63cb698e,170,171,android.text.TextUtils
MyExpenses,https://github.com/mtotschnig/MyExpenses/commit/dfb95eb#diff-505621b54dda063014a38e77e6ce0c08,157,160,org.acra.ACRA
MyExpenses,https://github.com/mtotschnig/MyExpenses/commit/dfb95eb#diff-9747afb37c7da06d3ceed3523a9840bd,1065,1068-1080,org.acra.ACRA
News-Android-App,https://github.com/nextcloud/news-android/commit/1951068#diff-d8321504a991392c6cf2ff7e06a6ebdc,139,56,com.nostra13.universalimageloader.core.ImageLoader
